Handle,Title,Body HTML,Vendor,Product Type,Tags,Published,Variant SKU,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Weight,Variant Weight Unit,Image Src,Image Position,Image Alt Text
modern-desk-lamp,"Modern Desk Lamp","<p>A sleek and contemporary desk lamp with adjustable brightness settings. Perfect for your home office.</p>",LightCraft,Lighting,"desk,lamp,office,modern",TRUE,MDL-001,39.99,49.99,TRUE,TRUE,shopify,25,deny,manual,1.2,kg,https://images.unsplash.com/photo-1534109287734-9595ff4428d5,1,"Modern desk lamp with adjustable arm"
ergonomic-office-chair,"Ergonomic Office Chair","<p>Premium ergonomic office chair with lumbar support and adjustable height. Designed for maximum comfort during long work hours.</p>",ComfortSeating,Furniture,"chair,office,ergonomic,furniture",TRUE,EOC-001,189.99,229.99,TRUE,TRUE,shopify,12,deny,manual,15.5,kg,https://images.unsplash.com/photo-1505797149-35ebcb016d74,1,"Ergonomic office chair with mesh back"
wireless-bluetooth-speaker,"Wireless Bluetooth Speaker","<p>Portable Bluetooth speaker with superior sound quality and 12-hour battery life. Waterproof design makes it perfect for outdoor use.</p>",SoundWave,Electronics,"speaker,bluetooth,wireless,audio",TRUE,WBS-001,79.99,99.99,TRUE,TRUE,shopify,30,deny,manual,0.5,kg,https://images.unsplash.com/photo-1589003077984-894e133dabab,1,"Portable Bluetooth speaker"
premium-yoga-mat,"Premium Yoga Mat","<p>Extra thick yoga mat made from eco-friendly materials. Non-slip surface provides excellent grip during practice.</p>",ZenFitness,Fitness,"yoga,mat,fitness,exercise",TRUE,PYM-001,45.99,59.99,TRUE,TRUE,shopify,40,deny,manual,1.8,kg,https://images.unsplash.com/photo-1518611012118-696072aa579a,1,"Premium yoga mat"
stainless-steel-water-bottle,"Stainless Steel Water Bottle","<p>Double-walled insulated water bottle that keeps drinks cold for 24 hours or hot for 12 hours. BPA-free and environmentally friendly.</p>",EcoHydrate,Kitchen,"water bottle,stainless steel,eco-friendly,hydration",TRUE,SSWB-001,24.99,29.99,TRUE,TRUE,shopify,50,deny,manual,0.35,kg,https://images.unsplash.com/photo-1602143407151-7111542de6e8,1,"Stainless steel water bottle"
handcrafted-ceramic-mug,"Handcrafted Ceramic Mug","<p>Artisan-made ceramic mug, perfect for your morning coffee or tea. Each piece is unique with slight variations in the glaze.</p>",ArtisanWares,Kitchen,"mug,ceramic,handcrafted,coffee",TRUE,HCM-001,18.99,24.99,TRUE,TRUE,shopify,20,deny,manual,0.4,kg,https://images.unsplash.com/photo-1577937927533-addefece22c3,1,"Handcrafted ceramic mug"
organic-cotton-t-shirt,"Organic Cotton T-Shirt","<p>Ultra-soft organic cotton t-shirt. Ethically sourced and manufactured. Classic fit suitable for everyday wear.</p>",EcoClothing,Apparel,"t-shirt,organic,cotton,clothing",TRUE,OCTS-001,29.99,34.99,TRUE,TRUE,shopify,30,deny,manual,0.2,kg,https://images.unsplash.com/photo-1581655353564-df123a1eb820,1,"Organic cotton t-shirt"
smart-fitness-tracker,"Smart Fitness Tracker","<p>Advanced fitness tracker with heart rate monitoring, sleep tracking, and smartphone notifications. Water-resistant design for all-day wear.</p>",TechFit,Electronics,"fitness,tracker,smartwatch,health",TRUE,SFT-001,89.99,109.99,TRUE,TRUE,shopify,15,deny,manual,0.05,kg,https://images.unsplash.com/photo-1575311373937-040b8e1fd5b6,1,"Smart fitness tracker"
premium-coffee-beans,"Premium Coffee Beans","<p>Freshly roasted specialty coffee beans sourced from sustainable farms. Rich flavor profile with notes of chocolate and caramel.</p>",BeanMaster,Food,"coffee,beans,organic,gourmet",TRUE,PCB-001,14.99,17.99,TRUE,TRUE,shopify,50,deny,manual,0.25,kg,https://images.unsplash.com/photo-1559056199-641a0ac8b55e,1,"Premium coffee beans package"
minimalist-wall-clock,"Minimalist Wall Clock","<p>Elegant wall clock with a minimalist design. Silent movement ensures no ticking noise. Perfect for any modern interior.</p>",ModernDecor,Home Decor,"clock,wall,minimalist,home decor",TRUE,MWC-001,49.99,59.99,TRUE,TRUE,shopify,18,deny,manual,0.8,kg,https://images.unsplash.com/photo-1507985622960-4ce3dce7c7a9,1,"Minimalist wall clock"
